Country,Edition,GDP,Scale,Total,Status,Population,relGDP
Portugal,2020,235232,Billions,96,F,10196.706999999999,23069408.584555782
Qatar,2020,215721,Billions,25,NF,2881.0600000000004,74875566.63172582
Romania,2020,239553,Billions,83,F,19237.682,12452279.853674678
Rwanda,2020,10482,Billions,22,NF,12952.209,809282.8026477954
Samoa,2020,1003,Billions,81,F,198.41,5055188.750567008
Saudi Arabia,2020,816567,Billions,7,NF,34813.866999999984,23455222.598512262
Senegal,2020,21222,Billions,71,PF,16743.929999999997,1267444.3813369982
Seychelles,2020,1765,Billions,72,PF,98.34,17947935.733170632
Sierra Leone,2020,5512,Billions,65,PF,7976.985,690987.8857738858
Singapore,2020,347073,Billions,50,PF,5850.343,59325239.56287691
Solomon Islands,2020,1498,Billions,79,F,686.8779999999999,2180882.194509069
South Africa,2020,325077,Billions,79,F,59308.68999999998,5481102.34773353
Spain,2020,1456623,Billions,92,F,46754.783,31154523.80561792
Sri Lanka,2020,110551,Billions,56,PF,21413.25,5162738.02435408
Sudan,2020,172828,Billions,12,NF,43849.268999999986,3941411.201176468
Suriname,2020,5257,Billions,75,F,586.634,8961294.435712898
Sweden,2020,581572,Billions,100,F,10099.270000000002,57585548.26239915
Switzerland,2020,744784,Billions,96,F,8654.618,86056253.43602687
Thailand,2020,457212,Billions,32,PF,69799.978,6550317.250816326
Togo,2020,6054,Billions,44,PF,8278.736999999997,731270.9656074353
Tonga,2020,509,Billions,79,F,105.69700000000002,4815652.289090512
Trinidad and Tobago,2020,28648,Billions,82,F,1399.4910000000002,20470299.55891106
Tunisia,2020,46766,Billions,70,F,11818.617999999999,3956977.034032237
Turkey,2020,912534,Billions,32,NF,84339.06700000001,10819825.644976601
Uganda,2020,35206,Billions,34,NF,45741.0,769681.4673924925
United Arab Emirates,2020,496920,Billions,17,NF,9890.399999999998,50242659.54865325
United Kingdom,2020,2927636,Billions,94,F,67886.00399999999,43125767.13161671
Uruguay,2020,69002,Billions,98,F,3473.7269999999994,19863967.433249652
Vanuatu,2020,1000,Billions,82,F,307.15000000000003,3255738.2386456123
Zambia,2020,26200,Billions,54,PF,18383.956000000002,1425155.7173004546
